"anio","pbi_pct"
"1950",0.0720843263339843
"1951",0.0829519634494239
"1952",0.103739488369233
"1953",0.10960455111675
"1954",0.100568215252605
"1955",0.0908513237117629
"1956",0.0856254786151661
"1957",0.0798662212869687
"1958",0.076245301628956
"1959",0.0729060254222139
"1960",0.0709248637082215
"1961",0.0692138752285922
"1962",0.0694416604105903
"1963",0.0680074341068238
"1964",0.0659605601313516
"1965",0.0643697857340144
"1966",0.0624903679676674
"1967",0.062357037120617
"1968",0.059411052003122
"1969",0.055021956389853
"1970",0.0519741323809566
"1971",0.0507633062254603
"1972",0.051710477559332
"1973",0.0490616105746511
"1974",0.0506942711490535
"1975",0.0533960343915615
"1976",0.0517550333681554
"1977",0.0492327762103886
"1978",0.0473304308586993
"1979",0.0467975756747534
"1980",0.0501990345888742
"1981",0.0498376336921746
"1982",0.0538132652115477
"1983",0.0539688559001511
"1984",0.0550807949805952
"1985",0.0532070461905547
"1986",0.0505982373679728
"1987",0.0468666844260533
"1988",0.0421428762838849
"1989",0.0404095433156431
"1990",0.03983217694585
"1991",0.0411680242273171
"1992",0.0386471776641263
"1993",0.0359064951247979
"1994",0.0338193371776532
"1995",0.0283837474698046
"1996",0.0270567305379448
"1997",0.02542016124534
"1998",0.0248213099556412
"1999",0.0240676422360133
"2000",0.0235376932300134
"2001",0.0238562444663089
"2002",0.0247114702725242
"2003",0.0253929869317276
"2004",0.0247959507078484
"2005",0.0241649029957506
"2006",0.0236126876654795
"2007",0.0236557220080207
"2008",0.0247553874715335
"2009",0.0263495117887733
"2010",0.0256250391937606
"2011",0.0248803326532006
"2012",0.0240659280718624
"2013",0.022824404450324
"2014",0.0216986218691769
"2015",0.0203661784620823
"2016",0.0197151348387958
"2017",0.0193632338398129
"2018",0.0192731351070821
"2019",0.0196847615205057
"2020",0.0214142334048722
"2021",0.020391788845251
"2022",0.0201176689087149
"2023",0.0215181525557322
"2024",0.0243671911955391
"2025",0.0235326415412518
